Episode,Action,Probability,Done
0,19,0.28600000000000003,False
0,7,0.0,False
0,13,0.0,False
0,16,0.0,False
0,16,0.0,False
0,16,0.0,False
0,16,0.0,False
0,18,0.0,True
1,15,0.99,False
1,9,0.0,False
1,0,0.0,False
1,3,0.183,False
1,5,0.0,False
1,5,0.0,False
1,5,0.0,False
1,12,0.0,False
1,12,0.0,False
1,12,0.0,True
2,1,0.017,False
2,1,0.99,False
2,19,0.361,False
2,19,0.361,True
3,19,0.273,False
3,19,0.32299999999999995,False
3,19,0.289,False
3,19,0.299,False
3,17,0.0,False
3,17,0.0,False
3,17,0.0,False
3,17,0.0,False
3,17,0.0,True
4,4,0.0,False
4,1,0.107,False
4,0,0.99,False
4,3,0.588,False
4,3,0.0,False
4,1,0.0,False
4,5,0.066,False
4,5,0.079,False
4,5,0.094,True
5,19,0.285,False
5,19,0.39,False
5,19,0.27,False
5,19,0.184,False
5,6,0.0,False
5,6,0.0,False
5,6,0.0,False
5,6,0.0,True
6,1,0.017,False
6,1,0.99,False
6,6,0.99,False
6,4,0.584,False
6,5,0.0,False
6,5,0.0,False
6,16,0.0,False
6,0,0.0,False
6,0,0.0,False
6,0,0.23800000000000002,True
7,0,0.157,False
7,1,0.023,False
7,11,0.99,False
7,1,0.361,False
7,1,0.361,True
8,1,0.0,False
8,1,0.99,False
8,1,0.568,False
8,1,0.99,False
8,19,0.99,False
8,6,0.564,False
8,6,0.0,False
8,6,0.0,False
8,6,0.0,False
8,6,0.0,True
9,15,0.99,False
9,7,0.0,False
9,1,0.99,False
9,3,0.591,False
9,1,0.193,False
9,1,0.99,False
9,3,0.5720000000000001,False
9,3,0.0,False
9,3,0.0,True
10,3,0.0,False
10,3,0.0,False
10,19,0.42,False
10,19,0.42200000000000004,False
10,2,0.0,False
10,2,0.0,True
11,4,0.0,False
11,4,0.0,False
11,4,0.0,False
11,1,0.17,False
11,1,0.99,False
11,4,0.361,False
11,4,0.36,False
11,4,0.36,True
12,4,0.0,False
12,4,0.0,False
12,19,0.0,False
12,19,0.282,False
12,19,0.318,False
12,12,0.0,False
12,10,0.0,False
12,7,0.0,True
13,7,0.0,False
13,7,0.0,False
13,7,0.0,False
13,7,0.0,False
13,7,0.0,False
13,15,0.0,False
13,7,0.0,False
13,7,0.0,True
14,7,0.0,False
14,18,0.0,False
14,18,0.0,False
14,7,0.0,False
14,17,0.0,False
14,18,0.0,False
14,12,0.0,False
14,19,0.0,True
15,3,0.0,False
15,19,0.36,False
15,19,0.45399999999999996,False
15,19,0.0,False
15,19,0.272,False
15,5,0.0,False
15,5,0.0,False
15,5,0.0,True
16,5,0.0,False
16,5,0.0,False
16,5,0.0,False
16,1,0.99,False
16,12,0.379,False
16,12,0.5820000000000001,False
16,5,0.0,False
16,12,0.0,True
17,12,0.0,False
17,18,0.0,False
17,4,0.0,False
17,9,0.0,False
17,9,0.0,False
17,9,0.0,False
17,10,0.0,False
17,10,0.0,True
18,1,0.0,False
18,1,0.99,False
18,3,0.361,False
18,3,0.361,True
19,6,0.0,False
19,3,0.0,False
19,6,0.0,False
19,6,0.0,False
19,4,0.0,False
19,18,0.0,False
19,18,0.0,False
19,18,0.0,True
20,18,0.0,False
20,18,0.0,False
20,18,0.0,False
20,15,0.0,False
20,18,0.0,False
20,2,0.0,False
20,16,0.0,False
20,2,0.0,False
20,8,0.0,True
21,15,0.99,False
21,15,0.0,False
21,15,0.0,False
21,7,0.0,False
21,7,0.0,False
21,0,0.09699999999999999,False
21,0,0.156,False
21,1,0.044000000000000004,False
21,1,0.99,False
21,7,0.361,False
21,19,0.361,True
22,1,0.0,False
22,1,0.99,False
22,1,0.99,False
22,1,0.99,False
22,9,0.595,False
22,1,0.99,False
22,1,0.99,False
22,11,0.578,False
22,3,0.0,False
22,11,0.0,False
22,11,0.0,True
23,11,0.0,False
23,11,0.0,False
23,11,0.0,False
23,1,0.99,False
23,1,0.55,False
23,1,0.588,False
23,7,0.201,False
23,7,0.21600000000000003,True
24,7,0.0,False
24,1,0.0,False
24,1,0.99,False
24,1,0.99,False
24,1,0.99,False
24,1,0.99,False
24,9,0.585,False
24,9,0.22399999999999998,False
24,7,0.239,False
24,5,0.248,True
25,5,0.0,False
25,7,0.0,False
25,5,0.0,False
25,1,0.99,False
25,1,0.58,False
25,1,0.99,False
25,1,0.36,False
25,1,0.36,True
26,1,0.99,False
26,1,0.597,False
26,1,0.99,False
26,1,0.99,False
26,7,0.595,False
26,7,0.361,False
26,7,0.361,False
26,9,0.361,True
27,19,0.249,False
27,18,0.0,False
27,18,0.0,False
27,4,0.0,False
27,1,0.0,False
27,1,0.99,False
27,6,0.361,False
27,6,0.361,True
28,15,0.99,False
28,15,0.0,False
28,15,0.99,False
28,15,0.27899999999999997,False
28,17,0.24100000000000002,False
28,1,0.239,False
28,3,0.239,False
28,7,0.239,True
29,3,0.0,False
29,10,0.0,False
29,1,0.99,False
29,1,0.579,False
29,1,0.99,False
29,1,0.99,False
29,19,0.597,False
29,19,0.0,False
29,7,0.428,True
30,19,0.0,True
