Episode,Action,Probability,Done
0,17,0.0,False
0,17,0.0,False
0,17,0.136,False
0,19,0.0,False
0,1,0.99,False
0,1,0.564,False
0,3,0.498,False
0,19,0.0,False
0,19,0.0,False
0,19,0.0,True
1,15,0.99,False
1,19,0.0,False
1,15,0.0,False
1,9,0.444,False
1,4,0.507,False
1,19,0.0,False
1,16,0.0,False
1,16,0.0,False
1,4,0.0,False
1,4,0.0,False
1,4,0.0,False
1,19,0.0,True
2,1,0.0,False
2,11,0.99,False
2,11,0.5920000000000001,False
2,1,0.99,False
2,1,0.542,False
2,15,0.99,False
2,19,0.5670000000000001,False
2,4,0.015,False
2,4,0.429,False
2,4,0.436,False
2,0,0.436,True
3,3,0.0,False
3,3,0.0,False
3,16,0.0,False
3,16,0.0,False
3,16,0.0,False
3,0,0.22899999999999998,False
3,0,0.0,False
3,0,0.0,False
3,0,0.063,True
4,15,0.99,False
4,15,0.0,False
4,15,0.0,False
4,19,0.355,False
4,1,0.99,False
4,2,0.4,False
4,1,0.591,False
4,1,0.99,False
4,1,0.55,False
4,1,0.0,False
4,1,0.0,True
5,15,0.99,False
5,1,0.0,False
5,19,0.0,False
5,19,0.446,False
5,19,0.431,False
5,19,0.99,False
5,19,0.552,False
5,16,0.99,False
5,16,0.99,False
5,16,0.5710000000000001,False
5,19,0.0,False
5,1,0.0,False
5,19,0.99,False
5,1,0.5820000000000001,False
5,0,0.99,False
5,7,0.584,False
5,0,0.0,False
5,19,0.99,False
5,7,0.596,False
5,11,0.273,False
5,11,0.46399999999999997,False
5,11,0.509,True
6,3,0.0,False
6,19,0.22899999999999998,False
6,2,0.0,False
6,19,0.424,False
6,1,0.99,False
6,11,0.593,False
6,19,0.99,False
6,0,0.596,False
6,0,0.0,False
6,0,0.99,False
6,7,0.544,False
6,0,0.457,False
6,19,0.99,False
6,19,0.43700000000000006,True
7,16,0.99,False
7,0,0.0,False
7,0,0.0,False
7,18,0.0,False
7,16,0.39299999999999996,False
7,15,0.043,False
7,16,0.0,False
7,19,0.0,False
7,19,0.0,False
7,19,0.488,False
7,2,0.0,False
7,15,0.495,False
7,19,0.45,False
7,15,0.40700000000000003,False
7,9,0.508,False
7,9,0.441,False
7,19,0.539,False
7,19,0.99,False
7,1,0.596,False
7,19,0.499,False
7,19,0.27399999999999997,False
7,19,0.28600000000000003,False
7,19,0.301,True
8,0,0.179,False
8,0,0.99,False
8,19,0.597,False
8,1,0.99,False
8,9,0.5670000000000001,False
8,0,0.209,False
8,0,0.16899999999999998,False
8,0,0.99,False
8,0,0.595,False
8,0,0.0,False
8,0,0.385,False
8,0,0.434,False
8,0,0.99,False
8,19,0.99,False
8,16,0.429,False
8,16,0.401,False
8,0,0.376,False
8,0,0.212,True
9,15,0.99,False
9,19,0.0,False
9,19,0.0,False
9,15,0.0,False
9,15,0.0,False
9,10,0.0,False
9,15,0.0,False
9,12,0.0,False
9,15,0.0,False
9,6,0.0,False
9,15,0.0,False
9,1,0.0,False
9,14,0.0,False
9,14,0.428,False
9,0,0.447,False
9,0,0.488,False
9,13,0.0,False
9,19,0.41600000000000004,False
9,1,0.99,False
9,18,0.568,False
9,19,0.0,False
9,19,0.187,False
9,19,0.456,False
9,16,0.45899999999999996,False
9,19,0.45899999999999996,True
10,15,0.99,False
10,15,0.0,False
10,15,0.0,False
10,19,0.0,False
10,19,0.465,False
10,14,0.46,False
10,14,0.455,False
10,14,0.451,False
10,14,0.447,False
10,14,0.44,False
10,14,0.435,False
10,14,0.429,False
10,14,0.42100000000000004,False
10,14,0.456,False
10,15,0.449,False
10,15,0.365,False
10,19,0.0,False
10,1,0.99,False
10,19,0.99,False
10,19,0.569,False
10,19,0.0,False
10,3,0.141,False
10,19,0.473,False
10,19,0.47600000000000003,False
10,1,0.47600000000000003,True
11,1,0.091,False
11,1,0.99,False
