Episode,Action,Probability,Done
0,13,0.0,False
0,3,0.0,False
0,5,0.0,False
0,9,0.0,False
0,5,0.0,False
0,6,0.0,False
0,6,0.0,False
0,3,0.0,False
0,6,0.0,True
1,6,0.0,False
1,5,0.0,False
1,12,0.0,False
1,11,0.0,False
1,19,0.267,False
1,1,0.0,False
1,7,0.0,False
1,14,0.0,False
1,5,0.0,True
2,6,0.0,False
2,2,0.0,False
2,9,0.0,False
2,1,0.0,False
2,19,0.231,False
2,13,0.0,False
2,16,0.0,False
2,14,0.0,False
2,7,0.0,True
3,1,0.013999999999999999,False
3,7,0.99,False
3,10,0.5920000000000001,False
3,7,0.0,False
3,17,0.99,False
3,1,0.0,False
3,11,0.0,True
4,6,0.0,False
4,17,0.0,False
4,12,0.0,False
4,11,0.0,False
4,11,0.0,False
4,11,0.0,False
4,11,0.0,False
4,18,0.0,False
4,11,0.0,True
5,8,0.0,False
5,0,0.297,False
5,12,0.0,False
5,8,0.0,False
5,12,0.0,False
5,13,0.0,False
5,10,0.0,False
5,19,0.0,False
5,15,0.0,True
6,0,0.185,False
6,2,0.0,False
6,11,0.0,False
6,5,0.0,False
6,0,0.366,False
6,16,0.0,False
6,16,0.0,False
6,16,0.0,False
6,0,0.0,True
7,6,0.0,False
7,12,0.0,False
7,19,0.314,False
7,14,0.0,False
7,18,0.0,False
7,2,0.0,False
7,7,0.0,False
7,17,0.0,False
7,0,0.0,False
7,17,0.0,False
7,18,0.0,True
8,11,0.0,False
8,1,0.0,False
8,14,0.0,False
8,17,0.0,False
8,4,0.0,False
8,11,0.0,False
8,13,0.0,False
8,2,0.0,False
8,7,0.0,True
9,6,0.0,False
9,2,0.0,False
9,13,0.0,False
9,13,0.0,False
9,10,0.0,False
9,1,0.0,False
9,16,0.99,False
9,19,0.581,False
9,10,0.22399999999999998,False
9,15,0.99,False
9,16,0.541,False
9,15,0.0,True
10,11,0.0,False
10,6,0.0,False
10,9,0.0,False
10,10,0.0,False
10,12,0.0,False
10,9,0.0,False
10,3,0.0,False
10,18,0.0,True
11,9,0.0,False
11,12,0.0,False
11,8,0.0,False
11,9,0.0,False
11,17,0.99,False
11,3,0.0,False
11,13,0.0,False
11,11,0.0,False
11,19,0.0,False
11,14,0.0,False
11,8,0.0,False
11,11,0.166,False
11,1,0.184,False
11,6,0.17,False
11,12,0.165,False
11,3,0.161,True
12,16,0.99,False
12,3,0.0,False
12,19,0.03,False
12,16,0.0,False
12,1,0.0,False
12,15,0.99,False
12,19,0.595,False
12,16,0.0,False
12,13,0.99,False
12,11,0.562,False
12,18,0.0,True
13,8,0.0,False
13,7,0.0,False
13,0,0.99,False
13,0,0.562,False
13,14,0.0,False
13,3,0.0,False
13,13,0.0,False
13,5,0.0,False
13,14,0.0,True
14,19,0.27699999999999997,False
14,3,0.0,False
14,19,0.38299999999999995,False
14,9,0.0,False
14,19,0.397,False
14,14,0.0,False
