Episode,Action,Probability,Done
0,15,0.99,False
0,6,0.0,False
0,6,0.0,False
0,18,0.0,False
0,19,0.0,False
0,19,0.349,False
0,19,0.252,False
0,19,0.99,False
0,19,0.596,False
0,3,0.0,False
0,13,0.0,True
1,15,0.99,False
1,0,0.342,False
1,0,0.158,False
1,17,0.99,False
1,8,0.5489999999999999,False
1,17,0.0,False
1,1,0.0,False
1,10,0.0,False
1,10,0.035,False
1,10,0.05,False
1,1,0.065,True
2,15,0.99,False
2,1,0.0,False
2,4,0.0,False
2,1,0.0,False
2,14,0.0,True
3,15,0.99,False
3,0,0.0,False
3,0,0.0,False
3,0,0.0,False
3,1,0.225,False
3,1,0.22699999999999998,False
3,11,0.461,False
3,1,0.462,False
3,1,0.45399999999999996,False
3,1,0.444,False
3,1,0.99,False
3,1,0.41700000000000004,False
3,1,0.0,False
3,4,0.45399999999999996,False
3,16,0.0,False
3,1,0.0,False
3,3,0.0,False
3,3,0.0,False
3,1,0.0,True
4,15,0.99,False
4,3,0.0,False
4,3,0.0,False
4,3,0.0,False
4,8,0.389,False
4,3,0.0,False
4,1,0.0,False
4,1,0.99,False
4,1,0.531,False
4,17,0.99,False
4,17,0.363,False
4,1,0.99,False
4,1,0.0,False
4,1,0.0,True
5,15,0.99,False
5,12,0.0,False
5,12,0.0,False
5,12,0.0,False
5,18,0.134,False
5,15,0.134,False
5,15,0.134,False
5,17,0.134,False
5,17,0.135,False
5,17,0.135,False
5,17,0.136,False
5,15,0.136,False
5,8,0.13699999999999998,False
5,0,0.13699999999999998,False
5,1,0.386,False
5,1,0.0,False
5,1,0.99,False
5,1,0.5479999999999999,False
5,12,0.99,False
5,12,0.491,False
5,19,0.0,False
5,16,0.0,True
6,15,0.99,False
6,6,0.0,False
6,6,0.0,True
7,15,0.99,False
7,6,0.0,False
7,6,0.0,False
7,6,0.457,False
7,6,0.447,False
7,6,0.43200000000000005,False
7,6,0.42100000000000004,False
7,6,0.408,False
7,8,0.0,False
7,1,0.0,False
7,1,0.99,False
