Episode,Action,Probability,Done
0,5,0.0,False
0,4,0.0,False
0,4,0.0,False
0,4,0.0,False
0,6,0.0,False
0,6,0.0,False
0,14,0.0,False
0,15,0.0,True
1,15,0.99,False
1,15,0.0,False
1,15,0.423,False
1,15,0.414,False
1,14,0.313,False
1,14,0.0,False
1,14,0.0,True
2,1,0.0,False
2,0,0.99,False
2,10,0.595,False
2,10,0.0,False
2,10,0.0,False
2,8,0.0,False
2,10,0.0,False
2,10,0.0,False
2,6,0.0,False
2,6,0.0,True
3,15,0.99,False
3,6,0.0,False
3,15,0.0,False
3,15,0.0,False
3,1,0.0,False
3,15,0.99,False
3,6,0.36,False
3,19,0.36,True
4,14,0.0,False
4,14,0.0,False
4,19,0.0,False
4,17,0.99,False
4,17,0.0,False
4,17,0.0,True
5,17,0.0,False
5,17,0.0,False
5,15,0.99,False
5,15,0.282,False
5,15,0.24,False
5,15,0.23800000000000002,False
5,1,0.23600000000000002,False
5,1,0.23600000000000002,False
5,1,0.23600000000000002,False
5,14,0.23600000000000002,True
6,14,0.0,False
6,8,0.0,False
6,7,0.0,False
6,14,0.0,False
6,14,0.0,False
6,19,0.285,False
6,16,0.99,False
6,15,0.488,False
6,15,0.0,False
6,1,0.0,True
7,13,0.0,False
7,1,0.084,False
7,1,0.99,False
7,1,0.5670000000000001,False
7,1,0.99,False
7,6,0.99,False
7,14,0.596,False
7,5,0.0,False
7,14,0.0,False
7,14,0.0,True
8,14,0.0,False
8,14,0.0,False
8,1,0.99,False
8,7,0.591,False
8,1,0.016,False
8,6,0.99,False
8,6,0.589,False
8,6,0.0,False
8,6,0.0,True
9,15,0.99,False
9,18,0.0,False
9,17,0.0,False
9,14,0.0,True
10,14,0.0,False
10,14,0.0,False
10,14,0.0,False
10,14,0.0,False
10,14,0.0,False
10,6,0.0,False
10,3,0.0,False
10,3,0.0,False
10,7,0.0,True
11,15,0.99,False
11,15,0.0,False
11,15,0.0,False
11,15,0.0,False
11,13,0.0,False
11,8,0.0,False
11,16,0.99,False
11,16,0.428,False
11,16,0.414,False
11,16,0.41200000000000003,False
11,16,0.41200000000000003,True
12,15,0.99,False
12,1,0.0,False
12,1,0.0,True
13,8,0.0,False
13,1,0.0,False
13,1,0.99,False
13,1,0.361,False
13,1,0.361,True
14,15,0.99,False
14,18,0.24600000000000002,False
14,5,0.0,False
14,5,0.0,False
14,5,0.0,False
14,5,0.0,False
14,2,0.0,False
14,2,0.0,True
15,1,0.99,False
15,15,0.595,False
15,1,0.99,False
15,1,0.99,False
15,9,0.0,False
15,1,0.0,True
16,15,0.99,False
16,15,0.0,False
16,15,0.0,False
16,1,0.0,False
16,1,0.99,False
16,1,0.0,False
16,6,0.0,True
17,6,0.0,False
17,6,0.0,False
17,6,0.0,False
17,17,0.99,False
17,6,0.0,False
17,6,0.0,True
18,15,0.99,False
18,15,0.24,False
18,15,0.99,False
18,1,0.321,False
18,1,0.28800000000000003,False
18,1,0.28800000000000003,False
18,1,0.289,False
18,1,0.29,False
18,1,0.292,False
18,1,0.29100000000000004,False
18,8,0.29,False
18,1,0.29100000000000004,False
18,12,0.293,False
18,12,0.294,False
18,12,0.295,False
18,19,0.37799999999999995,False
18,12,0.99,False
18,4,0.99,False
18,1,0.376,False
18,1,0.99,False
18,2,0.375,False
18,11,0.375,False
18,11,0.376,False
18,11,0.376,True
19,15,0.99,False
19,15,0.0,False
19,17,0.318,False
19,17,0.0,False
19,17,0.0,False
19,17,0.0,False
19,17,0.0,False
19,17,0.0,False
19,17,0.0,False
19,18,0.0,False
19,19,0.0,False
19,13,0.0,False
19,19,0.99,False
19,19,0.596,False
19,19,0.0,False
19,19,0.99,False
19,19,0.5,False
19,19,0.013999999999999999,True
20,15,0.99,False
20,15,0.0,False
20,15,0.455,False
20,15,0.451,False
20,15,0.442,False
20,15,0.431,False
20,15,0.42100000000000004,False
20,15,0.0,False
20,15,0.0,False
20,1,0.316,False
20,1,0.99,False
20,1,0.361,False
20,1,0.361,True
21,15,0.99,False
21,19,0.23199999999999998,False
21,19,0.99,False
21,1,0.99,False
21,19,0.596,False
21,12,0.392,False
21,17,0.99,False
21,17,0.040999999999999995,False
21,17,0.036000000000000004,False
21,17,0.037000000000000005,False
21,17,0.037000000000000005,True
22,15,0.99,False
22,15,0.0,False
22,15,0.99,False
22,3,0.20600000000000002,False
22,1,0.187,False
22,1,0.185,False
22,1,0.185,False
22,7,0.18600000000000003,False
22,7,0.18600000000000003,True
23,3,0.0,False
23,19,0.385,False
23,4,0.0,False
23,4,0.0,False
23,18,0.0,False
23,4,0.0,False
23,4,0.0,False
23,4,0.0,True
24,1,0.195,False
24,1,0.99,False
24,1,0.361,False
24,15,0.361,True
25,15,0.0,False
25,15,0.0,False
25,15,0.0,False
25,15,0.99,False
25,1,0.99,False
25,1,0.99,False
25,16,0.99,False
25,13,0.595,False
25,16,0.0,False
25,5,0.0,False
25,7,0.0,True
26,8,0.0,False
26,19,0.39299999999999996,False
26,11,0.0,False
26,11,0.0,False
26,11,0.0,False
26,11,0.0,False
26,11,0.0,False
26,11,0.0,False
26,11,0.0,True
27,5,0.0,False
27,1,0.10099999999999999,False
27,1,0.99,False
27,1,0.585,False
27,1,0.99,False
27,18,0.596,False
27,18,0.99,False
27,2,0.5720000000000001,False
27,18,0.369,False
27,16,0.0,False
27,16,0.0,False
27,16,0.0,False
27,16,0.0,False
27,16,0.0,True
28,15,0.99,False
28,15,0.0,False
28,15,0.0,False
28,15,0.45799999999999996,False
28,15,0.44799999999999995,False
28,16,0.44,False
28,16,0.433,False
28,16,0.423,False
28,19,0.41100000000000003,False
28,19,0.2,False
28,19,0.0,False
28,17,0.0,False
28,17,0.0,False
28,17,0.0,False
28,3,0.0,False
28,15,0.0,False
28,15,0.0,False
28,15,0.0,True
29,15,0.99,False
29,18,0.147,False
29,12,0.0,False
29,4,0.0,False
29,7,0.0,False
29,4,0.0,False
29,19,0.0,False
29,19,0.0,True
30,19,0.0,True
